Word, Consonants
athirst,NOT_IN_CMU_DICT
athlete,THINK LOOK GET
athletes,THINK LOOK
athletic,THINK LOOK WATER
athletics,THINK LOOK WATER
athlone,THINK LOOK
athwart,THINK GET
atlanta,LOOK
atlantic,LOOK
atlas,LOOK
atm,WATER
atmosphere,
atmospheres,NOT_IN_CMU_DICT
atmospheric,
atom,WATER
atomic,WATER
atrocities,RUN WATER
atrocity,RUN WATER
attach,WATER
attached,WATER GET
attaches,WATER
attack,WATER
attain,WATER
attempt,WATER GET
attend,WATER
attendance,WATER
attendant,WATER GET
attendee,WATER
attention,WATER
attire,WATER
attitude,WATER
attorney,WATER
attract,RUN GET
attraction,RUN
attractive,RUN
attribtue,NOT_IN_CMU_DICT
attribute,RUN GET
attributed,RUN WATER
atwater,WATER
atwood,
aubade,NOT_IN_CMU_DICT
aubrey,RUN
aubrietia,NOT_IN_CMU_DICT
auburn,
auckland,LOOK
auction,
aud,
audacious,
audaciously,NOT_IN_CMU_DICT
audacity,WATER
auden,
audi,
audible,RAIL
audience,
audio,
audiobook,NOT_IN_CMU_DICT
audiology,NOT_IN_CMU_DICT
audit,GET
audition,
auditor,WATER
auditor,WATER
auditorium,WATER
audrey,RUN
audubon,
auger,
aught,GET
augment,GET
augmented,
auguries,NOT_IN_CMU_DICT
augury,NOT_IN_CMU_DICT
august,GET
augusta,
augustina,NOT_IN_CMU_DICT
augustine,
augustinian,
augustus,
aumerle,NOT_IN_CMU_DICT
aunt,GET
auntie,
aura,
aural,RAIL
aurelia,NOT_IN_CMU_DICT
aurelian,NOT_IN_CMU_DICT
aurelius,NOT_IN_CMU_DICT
aureola,NOT_IN_CMU_DICT
auricular,NOT_IN_CMU_DICT
auriferous,NOT_IN_CMU_DICT
auriga,NOT_IN_CMU_DICT
aurora,
auschwitz,
auspices,
auspicious,
aussie,
austen,
austere,
austerity,WATER
austin,
australasia,RUN LOOK
australia,RUN RAIL
australian,RUN RAIL
austria,RUN
austro-hungarian,NOT_IN_CMU_DICT
authentic,THINK
authentication,THINK
author,THINK
authorial,NOT_IN_CMU_DICT
authoritarian,THINK WATER
authoritative,THINK WATER
authority,THINK WATER
authorization,THINK
authorize,THINK
authorized,THINK
authorizes,THINK
authorizing,THINK TALKING
autism,WATER
autistic,WATER
auto,WATER
autobahn,WATER
autobiography,WATER RUN
autochanger,NOT_IN_CMU_DICT
autoclave,WATER LOOK
autograph,WATER RUN
autogyros,NOT_IN_CMU_DICT
autoharp,NOT_IN_CMU_DICT
autologous,NOT_IN_CMU_DICT
automate,WATER GET
automated,WATER
automates,WATER
automatic,WATER
automatically,WATER LOOK
automating,WATER TALKING
automation,WATER
automobile,WATER RAIL
automotive,WATER
autopilot,WATER LOOK GET
autoroute,NOT_IN_CMU_DICT
autos,WATER
autumn,WATER
auvergne,NOT_IN_CMU_DICT
auxiliary,RAIL LOOK
ava,
avail,RAIL
availability,LOOK WATER
available,LOOK RAIL
availing,NOT_IN_CMU_DICT
avalon,LOOK
avast,NOT_IN_CMU_DICT
avatar,WATER
avaunt,NOT_IN_CMU_DICT
ave,
avenge,
avenger,
aventurine,NOT_IN_CMU_DICT
avenue,
avenues,
aver,
average,RUN
averse,
aversion,
avert,GET
avesta,NOT_IN_CMU_DICT
avestan,NOT_IN_CMU_DICT
avg,NOT_IN_CMU_DICT
aviation,
avis,
aviva,NOT_IN_CMU_DICT
avoca,NOT_IN_CMU_DICT
avocado,
avoid,
avoidable,RAIL
avoidance,
avon,
avowed,
avulsion,NOT_IN_CMU_DICT
avuncular,LOOK
awacs,
await,GET
awaited,WATER
awake,
award,
awards,
aware,
away,
awe-inspiring,NOT_IN_CMU_DICT
awesome,
awestruck,RUN
awful,RAIL
awfully,LOOK
awfully,LOOK
awkward,
awning,TALKING
awol,RAIL
ax,
axes,
axes,
axiom,
axioms,
axis,
aye,
aylesbury,RAIL
ayrshire,
ayrton,NOT_IN_CMU_DICT
azala,NOT_IN_CMU_DICT
azalea,RAIL
azaleas,RAIL
azania,NOT_IN_CMU_DICT
azathioprine,NOT_IN_CMU_DICT
azaziel,NOT_IN_CMU_DICT
azerbaijan,
azeri,
azeris,NOT_IN_CMU_DICT
azithromycin,NOT_IN_CMU_DICT
aziz,
azote,NOT_IN_CMU_DICT
